Doc number,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20
Doc 54,op,ens,lac,heralds,army,messenger,terms,captains,imrahil,thou,k,b,lieutenant,sauron,embassy,trumpeters,scouts,tokens,gorgor,morannon
Doc 55,shagrat,fc,hu,turret,gorbag,sam,ro,orc,et,snaga,court,w,ladder,shelob,torch,glare,bundle,g,frodo,parapet
Doc 56,morgai,sha,sam,tracker,w,range,frodo,spur,neat,thorns,isenmouthe,shagrat,soldier,angren,carach,ephel,nosing,uduˆn,cracking,fumes
Doc 57,mo,sam,un,cone,gollum,mountain,frodo,tearing,naur,sammath,load,bolts,crag,drowsed,waterless,gaping,toppled,mouthful,parched,precious
Doc 58,praise,gwaihir,ld,le,laita,landroval,c,captains,sam,eagles,pure,eglerio,meneldor,te,knights,isle,f,host,pavilions,merriment
Doc 59,eowyn,faramir,warden,tewar,city,lady,k,king,steward,healing,healer,citadel,kinswoman,unrest,ioreth,aragorn,houses,healed,g,beregond
Doc 60,treebeard,par,ti,eowyn,orthanc,wain,ny,eomer,beggar,celeborn,hoom,arwen,king,saruman,gimli,aragorn,bilbo,knights,pouch,fangorn
Doc 61,butterbur,nob,bree,wa,barliman,un,bill,pony,ho,slowcoach,b,beer,troubles,rangers,greenway,ferny,parlour,stables,deadmen,killed
Doc 62,rufﬁans,cotton,sharkey,es,ft,farmer,shirriffs,boss,pimple,lotho,rufﬁan,hob,village,h,bywater,sheds,r,worm,rosie,c
Doc 63,deputy,rey,sam,sharkey,bag,married,whitfoot,cotton,rosie,rufﬁans,mayor,repair,scary,yule,gaffer,row,bywater,frodo,grain,lockholes
Doc 64,passim,ii,x,etc,eldar,english,quenya,ndi,pe,sindarin,ap,languages,king,names,reans,westron,erebor,eldacar,gondor,arwen
